name,state,stream,fees,student_rating,placement_rate,industry_tieups,location
National Institute of Technology Trichy,Uttar Pradesh,Management,209281,3.0,69,No,Semi-Urban
Indian Institute of Science,Punjab,Engineering,348796,3.4,89,No,Urban
Vellore Institute of Technology,Uttar Pradesh,Engineering,198044,3.0,89,Yes,Rural
Indian Institute of Science,Uttar Pradesh,Medical,346399,2.9,77,Yes,Urban
Shiv Nadar University,Andhra Pradesh,Commerce,352188,3.9,41,No,Urban
Indian Institute of Management Ahmedabad,Gujarat,Commerce,141291,2.8,60,No,Semi-Urban
Symbiosis Institute of Business Management,Uttar Pradesh,Engineering,90361,4.7,51,Yes,Rural
Shiv Nadar University,Haryana,Medical,201577,3.3,63,No,Urban
Narsee Monjee Institute of Management Studies,Tamil Nadu,Commerce,491870,2.9,42,Yes,Semi-Urban
Delhi Technological University,Gujarat,Pharmacy,452630,3.5,53,Yes,Urban
Ashoka University,Tamil Nadu,Engineering,322166,2.9,64,Yes,Urban
University of Delhi,Gujarat,Medical,104781,4.5,55,Yes,Urban
Symbiosis Institute of Business Management,Punjab,Arts,261650,4.1,41,Yes,Rural
Banaras Hindu University,Delhi,Medical,189617,3.9,94,No,Urban
Ashoka University,Assam,Commerce,104873,4.1,69,No,Urban
Banaras Hindu University,Assam,Engineering,389305,3.2,43,No,Urban
Narsee Monjee Institute of Management Studies,Maharashtra,Medical,113060,3.0,88,Yes,Semi-Urban
Indian Institute of Technology Bombay,Delhi,Engineering,291429,3.0,46,Yes,Rural
Narsee Monjee Institute of Management Studies,Andhra Pradesh,Science,475255,3.7,90,Yes,Semi-Urban
Jadavpur University,Andhra Pradesh,Management,241726,4.3,74,No,Rural
Banaras Hindu University,Tamil Nadu,Hotel-management,326530,3.9,47,Yes,Rural
Jamia Millia Islamia,Assam,Science,482211,4.1,68,Yes,Rural
SRM Institute of Science and Technology,Assam,Engineering,371412,4.2,98,Yes,Urban
Manipal Institute of Technology,Maharashtra,Medical,366264,3.0,49,No,Semi-Urban
Christ University,Andhra Pradesh,Management,286113,3.9,41,No,Urban
Shiv Nadar University,West Bengal,Pharmacy,153644,2.7,43,No,Urban
Jadavpur University,West Bengal,Pharmacy,98455,3.4,42,No,Urban
Jadavpur University,Haryana,Hotel-management,257225,3.2,42,No,Rural
Indian Institute of Management Ahmedabad,Rajasthan,Science,109983,3.0,51,Yes,Semi-Urban
SRM Institute of Science and Technology,Tamil Nadu,Medical,290889,5.0,62,Yes,Semi-Urban
Delhi Technological University,Tamil Nadu,Arts,373482,3.2,85,Yes,Urban
University of Delhi,Karnataka,Management,278639,5.0,52,No,Rural
Banaras Hindu University,Bihar,Management,384611,4.7,75,Yes,Urban
Ashoka University,West Bengal,Engineering,304868,2.5,84,No,Semi-Urban
University of Delhi,Madhya Pradesh,Pharmacy,214647,4.0,82,Yes,Rural
National Institute of Technology Trichy,Haryana,Management,213281,5.0,89,No,Semi-Urban
Delhi Technological University,Karnataka,Engineering,193153,4.7,55,Yes,Semi-Urban
Birla Institute of Technology and Science,Maharashtra,Science,221709,4.7,49,No,Urban
Birla Institute of Technology and Science,West Bengal,Science,481879,3.2,91,Yes,Urban
Vellore Institute of Technology,West Bengal,Engineering,253512,4.5,88,Yes,Rural
Indian Institute of Technology Bombay,Haryana,Management,322279,3.8,88,Yes,Urban
Banaras Hindu University,Karnataka,Science,427124,4.2,55,No,Urban
SRM Institute of Science and Technology,Delhi,Pharmacy,174250,4.3,95,Yes,Semi-Urban
Delhi Technological University,Karnataka,Pharmacy,264141,2.6,80,Yes,Urban
Indian Institute of Science,Karnataka,Medical,123891,3.0,85,No,Semi-Urban
Christ University,Madhya Pradesh,Hotel-management,477314,3.0,60,No,Rural
Anna University,Andhra Pradesh,Commerce,403197,2.7,90,Yes,Urban
Jamia Millia Islamia,West Bengal,Science,288613,3.6,86,No,Urban
Amity University,Madhya Pradesh,Pharmacy,204624,4.6,69,No,Semi-Urban
Vellore Institute of Technology,Assam,Pharmacy,418740,2.7,74,Yes,Urban
Indian Institute of Technology Bombay,Haryana,Pharmacy,195397,3.6,87,No,Semi-Urban
Manipal Institute of Technology,Haryana,Medical,265039,3.0,61,No,Rural
Jamia Millia Islamia,Tamil Nadu,Engineering,387993,2.9,68,No,Urban
Indian Institute of Management Ahmedabad,Tamil Nadu,Engineering,442334,4.6,77,No,Rural
Amity University,Madhya Pradesh,Arts,386349,3.3,82,Yes,Urban
Indian Institute of Technology Bombay,Andhra Pradesh,Medical,362311,2.6,90,No,Rural
Symbiosis Institute of Business Management,Odisha,Engineering,67602,4.8,63,Yes,Urban
Manipal Institute of Technology,Bihar,Pharmacy,170606,4.4,97,No,Rural
Jamia Millia Islamia,Assam,Management,186693,3.2,62,Yes,Urban
National Institute of Technology Trichy,Odisha,Management,224787,3.2,50,No,Urban
SRM Institute of Science and Technology,Madhya Pradesh,Management,267623,4.6,70,No,Semi-Urban
Indian Institute of Management Ahmedabad,Bihar,Management,349931,3.7,55,Yes,Urban
Delhi Technological University,Karnataka,Hotel-management,165293,3.6,97,No,Rural
Christ University,Karnataka,Medical,365468,4.1,41,Yes,Semi-Urban
Indian Institute of Technology Bombay,Punjab,Pharmacy,436677,2.9,87,Yes,Semi-Urban
Indian Institute of Technology Bombay,Tamil Nadu,Hotel-management,194444,4.5,93,No,Rural
Indian Institute of Science,Maharashtra,Commerce,90709,2.7,69,Yes,Semi-Urban
Vellore Institute of Technology,Haryana,Commerce,239289,2.6,49,No,Urban
Anna University,Gujarat,Medical,98718,4.1,67,No,Urban
Jadavpur University,Punjab,Commerce,379825,3.0,85,Yes,Rural
Indian Institute of Management Ahmedabad,Punjab,Management,475417,3.1,69,Yes,Urban
Vellore Institute of Technology,Delhi,Arts,335181,2.8,42,No,Urban
Shiv Nadar University,Gujarat,Arts,219012,3.9,56,No,Semi-Urban
Symbiosis Institute of Business Management,Rajasthan,Engineering,168610,4.8,86,Yes,Semi-Urban
Christ University,Tamil Nadu,Management,483270,3.7,88,No,Rural
Narsee Monjee Institute of Management Studies,Maharashtra,Hotel-management,107807,2.9,45,Yes,Rural
SRM Institute of Science and Technology,Odisha,Pharmacy,66515,3.0,80,Yes,Semi-Urban
Shiv Nadar University,Gujarat,Arts,329437,4.3,66,No,Semi-Urban
Vellore Institute of Technology,Delhi,Medical,176390,3.7,46,Yes,Semi-Urban
Indian Institute of Technology Bombay,Gujarat,Science,360769,4.4,90,No,Semi-Urban
Indian Institute of Technology Bombay,Odisha,Medical,374353,2.8,65,Yes,Urban
Narsee Monjee Institute of Management Studies,Gujarat,Pharmacy,256872,2.5,51,Yes,Urban
Shiv Nadar University,Madhya Pradesh,Hotel-management,469263,3.0,45,Yes,Rural
Manipal Institute of Technology,Uttar Pradesh,Arts,128740,5.0,80,Yes,Urban
Christ University,Haryana,Science,346147,2.7,62,No,Semi-Urban
Anna University,Delhi,Commerce,387347,4.0,97,Yes,Rural
Ashoka University,Assam,Engineering,485505,3.1,57,No,Semi-Urban
Delhi Technological University,Haryana,Management,387318,3.7,53,No,Urban
SRM Institute of Science and Technology,Punjab,Commerce,496740,3.4,46,No,Urban
Indian Institute of Technology Bombay,Gujarat,Hotel-management,385865,3.6,63,Yes,Semi-Urban
Anna University,Andhra Pradesh,Medical,218931,3.5,48,No,Urban
Narsee Monjee Institute of Management Studies,Odisha,Pharmacy,274336,4.7,78,No,Urban
Delhi Technological University,Odisha,Science,175182,4.9,81,Yes,Rural
Narsee Monjee Institute of Management Studies,Odisha,Hotel-management,249096,3.3,44,No,Semi-Urban
National Institute of Technology Trichy,Punjab,Pharmacy,282631,3.6,86,Yes,Urban
Shiv Nadar University,Uttar Pradesh,Pharmacy,367457,2.7,47,No,Urban
Indian Institute of Science,Rajasthan,Management,129687,3.8,74,Yes,Rural
Christ University,Haryana,Management,50858,3.4,42,No,Rural
Christ University,Gujarat,Hotel-management,118424,3.4,71,No,Rural
Narsee Monjee Institute of Management Studies,Bihar,Arts,380027,2.7,77,Yes,Semi-Urban
National Institute of Technology Trichy,Gujarat,Medical,411980,4.5,58,No,Urban
Banaras Hindu University,Haryana,Science,84841,4.5,45,Yes,Semi-Urban
University of Delhi,West Bengal,Hotel-management,276884,3.4,49,No,Rural
Banaras Hindu University,Madhya Pradesh,Management,202243,4.4,97,No,Semi-Urban
Jamia Millia Islamia,Karnataka,Science,158798,2.9,47,No,Rural
National Institute of Technology Trichy,Uttar Pradesh,Pharmacy,498827,4.9,65,Yes,Rural
Banaras Hindu University,West Bengal,Medical,117681,2.6,78,Yes,Urban
Narsee Monjee Institute of Management Studies,Andhra Pradesh,Medical,258372,3.8,52,No,Rural
Delhi Technological University,West Bengal,Science,127882,4.3,64,Yes,Semi-Urban
Birla Institute of Technology and Science,Bihar,Management,333605,3.9,53,Yes,Rural
Indian Institute of Science,Maharashtra,Arts,226809,3.1,68,No,Urban
Anna University,Uttar Pradesh,Hotel-management,156491,2.5,54,No,Urban
Christ University,West Bengal,Medical,142897,4.5,77,Yes,Semi-Urban
Banaras Hindu University,Andhra Pradesh,Pharmacy,318145,4.5,53,No,Rural
Jadavpur University,Uttar Pradesh,Medical,424079,3.6,44,Yes,Rural
Manipal Institute of Technology,Punjab,Arts,497912,2.8,80,Yes,Rural
Anna University,Uttar Pradesh,Science,121088,4.3,46,No,Semi-Urban
SRM Institute of Science and Technology,Assam,Hotel-management,97950,3.4,71,Yes,Urban
Vellore Institute of Technology,Maharashtra,Pharmacy,69124,2.6,58,No,Semi-Urban
Vellore Institute of Technology,Karnataka,Engineering,166171,4.7,60,No,Urban
Narsee Monjee Institute of Management Studies,Madhya Pradesh,Science,266827,3.2,84,No,Urban
Indian Institute of Management Ahmedabad,Maharashtra,Arts,253510,3.5,73,No,Urban
Ashoka University,Bihar,Science,203729,3.1,72,Yes,Semi-Urban
University of Delhi,Punjab,Arts,331957,5.0,46,Yes,Rural
Anna University,Assam,Commerce,194732,3.3,80,Yes,Semi-Urban
SRM Institute of Science and Technology,Punjab,Medical,259394,2.8,92,No,Semi-Urban
Manipal Institute of Technology,Punjab,Medical,416124,4.5,85,No,Rural
Amity University,Madhya Pradesh,Engineering,125947,3.3,78,No,Rural
Vellore Institute of Technology,Uttar Pradesh,Hotel-management,245974,4.2,51,Yes,Rural
Anna University,Uttar Pradesh,Pharmacy,482753,3.9,82,No,Rural
Jamia Millia Islamia,Karnataka,Hotel-management,144912,3.3,57,No,Urban
Ashoka University,Uttar Pradesh,Pharmacy,294937,4.0,64,No,Semi-Urban
Symbiosis Institute of Business Management,Madhya Pradesh,Management,69529,4.4,71,Yes,Semi-Urban
Shiv Nadar University,Odisha,Management,326419,2.8,64,Yes,Semi-Urban
Amity University,Punjab,Pharmacy,357530,2.8,49,No,Urban
Ashoka University,Rajasthan,Science,479790,4.0,56,Yes,Urban
Ashoka University,Delhi,Engineering,404953,4.7,56,No,Urban
Narsee Monjee Institute of Management Studies,West Bengal,Pharmacy,479555,2.8,61,Yes,Semi-Urban
Christ University,Maharashtra,Commerce,403753,3.9,42,No,Semi-Urban
Birla Institute of Technology and Science,Punjab,Arts,235182,3.1,80,No,Urban
Indian Institute of Management Ahmedabad,Uttar Pradesh,Commerce,382115,4.2,51,No,Rural
Delhi Technological University,Bihar,Management,480146,4.8,84,No,Urban
Jadavpur University,Rajasthan,Arts,231418,4.9,68,Yes,Semi-Urban
Christ University,Haryana,Pharmacy,219913,2.9,77,No,Urban
Manipal Institute of Technology,Tamil Nadu,Engineering,495899,3.1,61,Yes,Rural
Vellore Institute of Technology,Delhi,Management,284167,3.5,65,No,Urban
Anna University,Maharashtra,Pharmacy,391133,3.6,55,Yes,Rural
Symbiosis Institute of Business Management,Rajasthan,Arts,52431,2.8,40,Yes,Urban
Christ University,Uttar Pradesh,Engineering,296819,3.1,82,No,Urban
Indian Institute of Science,Delhi,Commerce,191239,3.5,75,No,Urban
Anna University,Odisha,Medical,289056,2.9,47,Yes,Rural
Manipal Institute of Technology,Gujarat,Engineering,493710,3.0,68,No,Urban
Birla Institute of Technology and Science,Bihar,Science,116322,4.0,84,Yes,Semi-Urban
Indian Institute of Science,Gujarat,Engineering,320070,3.5,65,Yes,Urban
Manipal Institute of Technology,Gujarat,Medical,367885,3.3,57,Yes,Urban
Christ University,West Bengal,Commerce,498947,3.7,95,No,Rural
Jadavpur University,Madhya Pradesh,Engineering,426106,3.9,42,No,Semi-Urban
Narsee Monjee Institute of Management Studies,Andhra Pradesh,Engineering,283477,3.0,84,Yes,Urban
Amity University,Uttar Pradesh,Science,186261,4.1,76,No,Urban
Jadavpur University,Odisha,Pharmacy,249122,4.4,45,No,Urban
Vellore Institute of Technology,Rajasthan,Hotel-management,388490,4.2,75,Yes,Semi-Urban
Manipal Institute of Technology,Odisha,Science,351578,4.9,52,Yes,Semi-Urban
Banaras Hindu University,Delhi,Medical,130079,3.9,73,No,Rural
Ashoka University,Andhra Pradesh,Science,184687,3.6,45,Yes,Semi-Urban
Jadavpur University,Rajasthan,Medical,433960,2.7,88,No,Rural
Jamia Millia Islamia,Haryana,Hotel-management,182927,4.9,88,No,Rural
Ashoka University,Karnataka,Medical,172949,2.9,54,Yes,Urban
Banaras Hindu University,West Bengal,Commerce,222623,4.0,85,Yes,Rural
Delhi Technological University,Haryana,Engineering,232315,3.0,78,Yes,Semi-Urban
Vellore Institute of Technology,Tamil Nadu,Commerce,402089,3.6,52,No,Semi-Urban
Anna University,West Bengal,Science,227994,4.6,62,Yes,Rural
Birla Institute of Technology and Science,Madhya Pradesh,Commerce,489533,2.9,43,No,Urban
Delhi Technological University,Andhra Pradesh,Science,82958,4.2,71,Yes,Rural
Indian Institute of Management Ahmedabad,Assam,Medical,458566,3.9,48,No,Semi-Urban
Symbiosis Institute of Business Management,Andhra Pradesh,Commerce,190992,4.9,63,Yes,Urban
Indian Institute of Science,Haryana,Pharmacy,322203,4.7,53,Yes,Semi-Urban
Birla Institute of Technology and Science,Madhya Pradesh,Pharmacy,469072,4.5,54,Yes,Semi-Urban
Manipal Institute of Technology,Tamil Nadu,Medical,191116,4.9,41,No,Urban
Christ University,Rajasthan,Arts,327714,3.4,70,Yes,Urban
Delhi Technological University,Assam,Engineering,278091,4.4,63,No,Semi-Urban
Delhi Technological University,Punjab,Management,108753,4.4,93,Yes,Semi-Urban
SRM Institute of Science and Technology,Tamil Nadu,Arts,477230,5.0,61,No,Rural
SRM Institute of Science and Technology,West Bengal,Pharmacy,151532,5.0,53,Yes,Semi-Urban
Jadavpur University,Assam,Medical,310809,4.2,87,No,Rural
Indian Institute of Management Ahmedabad,Bihar,Hotel-management,147954,3.5,45,Yes,Semi-Urban
Symbiosis Institute of Business Management,Punjab,Management,340851,4.9,45,No,Urban
National Institute of Technology Trichy,Uttar Pradesh,Medical,453296,3.5,40,No,Semi-Urban
Jadavpur University,Gujarat,Pharmacy,241037,4.4,76,No,Semi-Urban
Anna University,Maharashtra,Commerce,261062,3.4,60,No,Semi-Urban
Indian Institute of Science,West Bengal,Medical,442750,2.8,67,No,Semi-Urban
National Institute of Technology Trichy,Rajasthan,Medical,436971,4.7,61,Yes,Urban
Vellore Institute of Technology,Rajasthan,Arts,259971,4.8,50,Yes,Urban
Jamia Millia Islamia,Odisha,Pharmacy,287303,4.3,98,No,Urban
Birla Institute of Technology and Science,Karnataka,Engineering,267716,4.5,63,Yes,Semi-Urban
Banaras Hindu University,Uttar Pradesh,Engineering,147929,3.7,82,No,Rural
Banaras Hindu University,Andhra Pradesh,Arts,444990,2.7,77,Yes,Rural
SRM Institute of Science and Technology,Rajasthan,Hotel-management,131448,4.2,49,Yes,Urban
Birla Institute of Technology and Science,Tamil Nadu,Pharmacy,442151,4.1,53,No,Rural
Birla Institute of Technology and Science,West Bengal,Science,471411,3.4,74,No,Semi-Urban
Indian Institute of Management Ahmedabad,Rajasthan,Medical,360529,4.5,77,Yes,Rural
Birla Institute of Technology and Science,Maharashtra,Engineering,190162,2.8,94,Yes,Urban
Anna University,Andhra Pradesh,Pharmacy,177929,4.6,47,No,Urban
Anna University,Andhra Pradesh,Medical,93138,4.5,56,Yes,Rural
Amity University,Karnataka,Commerce,306987,4.2,53,No,Urban
Jadavpur University,Haryana,Pharmacy,213562,4.4,71,Yes,Semi-Urban
University of Delhi,Assam,Science,217725,2.7,62,No,Semi-Urban
Anna University,Haryana,Science,489235,4.8,66,No,Urban
Delhi Technological University,Bihar,Hotel-management,55860,4.3,50,No,Urban
Anna University,Punjab,Engineering,153878,3.2,87,Yes,Urban
Birla Institute of Technology and Science,Maharashtra,Engineering,210334,3.2,92,Yes,Urban
Shiv Nadar University,Rajasthan,Hotel-management,138511,4.1,43,Yes,Rural
National Institute of Technology Trichy,Delhi,Commerce,163775,3.4,69,Yes,Urban
Vellore Institute of Technology,Uttar Pradesh,Engineering,53885,4.4,45,No,Rural
National Institute of Technology Trichy,Rajasthan,Management,453596,4.9,48,Yes,Semi-Urban
Vellore Institute of Technology,West Bengal,Medical,185291,4.4,90,Yes,Rural
National Institute of Technology Trichy,Karnataka,Science,317668,3.2,72,No,Urban
Christ University,Tamil Nadu,Pharmacy,310026,3.9,87,No,Rural
Amity University,Madhya Pradesh,Arts,384423,4.4,95,No,Urban
Indian Institute of Technology Bombay,Maharashtra,Hotel-management,205030,3.6,52,Yes,Rural
Manipal Institute of Technology,Madhya Pradesh,Science,438488,4.0,59,No,Urban
Symbiosis Institute of Business Management,Rajasthan,Commerce,51148,3.4,75,Yes,Urban
Amity University,Maharashtra,Engineering,304260,3.0,92,No,Rural
Delhi Technological University,Tamil Nadu,Commerce,418709,3.5,45,Yes,Rural
Banaras Hindu University,Karnataka,Management,52589,3.8,95,No,Urban
Indian Institute of Science,Andhra Pradesh,Engineering,225210,4.6,74,No,Rural
Vellore Institute of Technology,Punjab,Management,454993,4.8,83,Yes,Urban
SRM Institute of Science and Technology,Tamil Nadu,Commerce,456374,4.5,58,No,Semi-Urban
Ashoka University,West Bengal,Management,281863,2.7,83,Yes,Semi-Urban
Banaras Hindu University,Gujarat,Management,433596,3.3,88,No,Rural
Amity University,Delhi,Management,164857,4.1,57,Yes,Rural
Indian Institute of Science,Rajasthan,Engineering,187819,3.8,52,No,Urban
Jadavpur University,Maharashtra,Pharmacy,53108,2.9,58,Yes,Urban
Jamia Millia Islamia,Tamil Nadu,Management,408142,4.6,52,Yes,Rural
Christ University,Uttar Pradesh,Hotel-management,176042,3.8,62,No,Urban
Anna University,Punjab,Science,248233,4.6,85,Yes,Urban
Christ University,Gujarat,Science,359384,3.7,78,Yes,Urban
Manipal Institute of Technology,Assam,Arts,407408,4.9,71,No,Semi-Urban
Christ University,Andhra Pradesh,Engineering,211556,3.6,50,No,Urban
Anna University,Haryana,Commerce,486172,4.0,83,Yes,Semi-Urban
Indian Institute of Management Ahmedabad,Odisha,Arts,53650,4.7,47,No,Urban
SRM Institute of Science and Technology,Assam,Hotel-management,330376,3.7,82,Yes,Urban
University of Delhi,Madhya Pradesh,Engineering,252146,4.9,53,No,Urban
Vellore Institute of Technology,Assam,Medical,460438,4.1,83,No,Urban
Indian Institute of Management Ahmedabad,Odisha,Engineering,147255,2.9,52,Yes,Semi-Urban
Amity University,Rajasthan,Engineering,347251,4.8,58,No,Rural
Jadavpur University,Uttar Pradesh,Management,87512,4.8,53,No,Urban
University of Delhi,Tamil Nadu,Arts,473950,2.9,54,Yes,Urban
Ashoka University,Delhi,Management,147287,2.7,73,Yes,Rural
Banaras Hindu University,Uttar Pradesh,Medical,442123,4.4,73,Yes,Semi-Urban
Indian Institute of Science,Odisha,Arts,238355,4.2,46,No,Semi-Urban
Narsee Monjee Institute of Management Studies,Uttar Pradesh,Commerce,386240,3.9,52,Yes,Urban
Amity University,Madhya Pradesh,Arts,317999,4.2,41,No,Semi-Urban
Amity University,Tamil Nadu,Pharmacy,290450,3.7,98,No,Rural
SRM Institute of Science and Technology,West Bengal,Science,330679,3.2,70,No,Urban
Jamia Millia Islamia,Maharashtra,Management,472533,3.5,54,Yes,Urban
SRM Institute of Science and Technology,Gujarat,Engineering,348507,4.5,85,Yes,Urban
Amity University,Punjab,Management,453891,3.5,80,Yes,Rural
Manipal Institute of Technology,West Bengal,Hotel-management,346576,4.1,50,No,Rural
Indian Institute of Technology Bombay,Karnataka,Arts,296817,3.4,62,Yes,Urban
SRM Institute of Science and Technology,Haryana,Management,156920,3.3,96,No,Rural
Delhi Technological University,Maharashtra,Hotel-management,289747,4.1,88,Yes,Rural
Manipal Institute of Technology,Odisha,Arts,406375,3.0,79,No,Urban
Indian Institute of Management Ahmedabad,Andhra Pradesh,Medical,309250,2.6,90,Yes,Rural
Narsee Monjee Institute of Management Studies,Haryana,Commerce,200643,2.6,96,No,Rural
Banaras Hindu University,Odisha,Science,444118,2.9,50,Yes,Rural
Christ University,Uttar Pradesh,Hotel-management,409120,4.4,97,No,Rural
Delhi Technological University,Maharashtra,Commerce,335158,3.4,55,No,Semi-Urban
Anna University,Delhi,Engineering,126530,2.6,70,No,Rural
Delhi Technological University,Haryana,Hotel-management,400501,4.2,72,Yes,Urban
Manipal Institute of Technology,Delhi,Engineering,222011,2.6,89,Yes,Semi-Urban
Christ University,Andhra Pradesh,Pharmacy,329392,3.3,61,No,Rural
Symbiosis Institute of Business Management,Punjab,Medical,146337,5.0,75,No,Semi-Urban
Jadavpur University,Gujarat,Engineering,196270,3.6,61,Yes,Semi-Urban
Indian Institute of Science,Assam,Management,407361,4.6,93,No,Semi-Urban
Symbiosis Institute of Business Management,Andhra Pradesh,Arts,173329,3.7,76,No,Semi-Urban
Delhi Technological University,Punjab,Management,342137,3.8,72,No,Rural
Anna University,Tamil Nadu,Management,345277,4.3,68,Yes,Urban
Narsee Monjee Institute of Management Studies,Bihar,Pharmacy,330973,2.6,60,No,Urban
Christ University,Delhi,Commerce,476936,2.6,79,Yes,Semi-Urban
Delhi Technological University,Punjab,Commerce,270140,4.0,90,No,Rural
Christ University,West Bengal,Commerce,484437,4.7,71,Yes,Rural
Birla Institute of Technology and Science,Madhya Pradesh,Management,431289,4.3,41,No,Rural
Manipal Institute of Technology,Andhra Pradesh,Hotel-management,306524,3.8,55,No,Rural
Amity University,Punjab,Hotel-management,59872,4.1,54,No,Urban
Indian Institute of Science,Gujarat,Arts,160818,4.7,59,Yes,Urban
Indian Institute of Science,Punjab,Arts,76311,3.3,92,No,Rural
Vellore Institute of Technology,Uttar Pradesh,Commerce,499194,3.1,92,No,Urban
Narsee Monjee Institute of Management Studies,Gujarat,Arts,161042,3.8,96,No,Semi-Urban
Banaras Hindu University,Maharashtra,Pharmacy,315234,3.3,73,No,Rural
Narsee Monjee Institute of Management Studies,Rajasthan,Science,165165,4.7,77,Yes,Semi-Urban
Birla Institute of Technology and Science,Punjab,Commerce,90485,4.0,60,Yes,Rural
Shiv Nadar University,Madhya Pradesh,Medical,195778,3.7,63,Yes,Rural
Jamia Millia Islamia,Andhra Pradesh,Arts,490187,4.2,42,No,Urban
Anna University,Tamil Nadu,Hotel-management,498663,2.8,78,No,Urban
Banaras Hindu University,Delhi,Arts,173984,3.2,91,Yes,Rural
Manipal Institute of Technology,Gujarat,Commerce,117856,2.6,76,No,Urban
Ashoka University,Karnataka,Management,118938,4.0,43,Yes,Rural
Delhi Technological University,Odisha,Arts,439617,4.5,75,Yes,Rural
SRM Institute of Science and Technology,Haryana,Commerce,68104,3.8,73,Yes,Rural
University of Delhi,Haryana,Engineering,245572,3.5,40,No,Urban
University of Delhi,Karnataka,Pharmacy,462832,4.1,85,No,Urban
Shiv Nadar University,West Bengal,Pharmacy,466993,3.8,57,Yes,Semi-Urban
Jamia Millia Islamia,Bihar,Engineering,62610,4.2,75,No,Rural
Amity University,Punjab,Hotel-management,399075,2.9,74,Yes,Rural
Delhi Technological University,Odisha,Science,326773,4.0,94,Yes,Rural
Indian Institute of Technology Bombay,Uttar Pradesh,Pharmacy,137249,2.8,59,No,Semi-Urban
Vellore Institute of Technology,Punjab,Pharmacy,180480,3.2,87,No,Urban
Indian Institute of Technology Bombay,Odisha,Science,432834,3.6,65,No,Urban
Narsee Monjee Institute of Management Studies,Uttar Pradesh,Hotel-management,241188,4.1,79,No,Rural
Narsee Monjee Institute of Management Studies,Tamil Nadu,Engineering,279889,3.6,81,Yes,Semi-Urban
Symbiosis Institute of Business Management,Haryana,Hotel-management,468332,3.8,58,No,Urban
Indian Institute of Science,Uttar Pradesh,Commerce,369400,4.5,54,No,Urban
Manipal Institute of Technology,Gujarat,Medical,90920,4.2,96,Yes,Rural
Christ University,Madhya Pradesh,Pharmacy,313634,3.9,66,Yes,Semi-Urban
